linkID,enterNodeID,exitNodeID,travelDirection,startTravelTime,whichDay,whichPeriod,travelTime,meanSpeed,speedDeviation,flow,density
603,608,654,-1,2014-07-30 04:00:00,Wednesday,17,49.008898,9.98,0.0,1,2.044535
603,608,654,-1,2014-07-30 03:45:00,Wednesday,16,143.014269,3.42,0.0,1,2.044535
603,608,654,-1,2014-07-30 03:15:00,Wednesday,14,166.931331,2.93,0.0,1,2.044535
603,608,654,-1,2014-07-30 02:00:00,Wednesday,9,158.801558,3.08,0.0,1,2.044535
603,608,654,-1,2014-07-30 01:45:00,Wednesday,8,159.839477,3.06,0.58,3,6.133605
603,608,654,-1,2014-07-30 01:30:00,Wednesday,7,105.184688,4.65,3.01,3,6.133605
603,608,654,-1,2014-07-30 00:45:00,Wednesday,4,108.209912,4.52,0.95,3,6.133605
603,608,654,-1,2014-07-30 00:30:00,Wednesday,3,114.277757,4.28,0.1,2,4.089070
603,608,654,-1,2014-07-30 00:15:00,Wednesday,2,92.986464,5.26,0.0,1,2.044535
603,608,654,-1,2014-07-30 00:00:00,Wednesday,1,121.972269,4.01,0.07,2,4.089070
