linkID,enterNodeID,exitNodeID,travelDirection,startTravelTime,whichDay,whichPeriod,travelTime,meanSpeed,speedDeviation,flow,density
603,608,654,-1,2014-05-23 08:00:00,5,33,105.455173,4.90,0.25,2,4.089070
603,608,654,-1,2014-05-22 08:00:00,4,33,207.581395,2.48,0.35,2,4.089070
603,608,654,-1,2014-05-21 08:00:00,3,33,216.081767,2.68,0.17,2,4.089070
603,608,654,-1,2014-05-20 08:00:00,2,33,330.951572,1.48,0.02,3,6.133605
603,608,654,-1,2014-05-19 08:00:00,1,33,176.293854,3.24,0.40,3,6.133605
603,608,654,-1,2014-05-18 08:00:00,7,33,82.899797,5.9,1.73,7,14.311744
603,608,654,-1,2014-05-17 08:00:00,6,33,90.018351,5.48,0.84,3,6.133605
603,608,654,-1,2014-05-16 08:00:00,5,33,359.638824,1.36,0.0,1,2.044535
603,608,654,-1,2014-05-15 08:00:00,4,33,130.803076,3.93,0.65,4,8.178140
603,608,654,-1,2014-05-14 08:00:00,3,33,144.044347,3.96,0.04,2,4.089070
603,608,654,-1,2014-05-13 08:00:00,2,33,178.246606,3.45,0.32,3,6.133605
603,608,654,-1,2014-05-12 08:00:00,1,33,107.025996,4.57,0.0,1,2.044535
603,608,654,-1,2014-05-11 08:00:00,7,33,106.559651,4.59,1.03,3,6.133605
603,608,654,-1,2014-05-10 08:00:00,6,33,76.903899,6.36,0.09,2,4.089070
603,608,654,-1,2014-05-09 08:00:00,5,33,95.903686,5.1,0.06,4,8.178140
603,608,654,-1,2014-05-08 08:00:00,4,33,271.727111,1.8,0.32,2,4.089070
603,608,654,-1,2014-05-07 08:00:00,3,33,118.715728,4.12,0.12,4,8.178140
603,608,654,-1,2014-05-06 08:00:00,2,33,116.454476,4.2,0.82,2,4.089070
603,608,654,-1,2014-05-05 08:00:00,1,33,123.512323,3.96,0.87,2,4.089070
603,608,654,-1,2014-05-04 08:00:00,7,33,142.430441,3.89,0.11,2,4.089070
603,608,654,-1,2014-05-03 08:00:00,6,33,78.007783,6.27,0.4,4,8.178140
603,608,654,-1,2014-05-02 08:00:00,5,33,129.393862,3.78,1.03,5,10.222674
603,608,654,-1,2014-05-01 08:00:00,4,33,119.879608,4.08,0.68,3,6.133605
603,608,654,-1,2014-04-30 08:00:00,3,33,102.817089,5.06,0.90,6,12.267209
603,608,654,-1,2014-04-29 08:00:00,2,33,111.262606,4.54,0.78,2,4.089070
603,608,654,-1,2014-04-28 08:00:00,1,33,121.324385,4.37,0.05,2,4.089070
603,608,654,-1,2014-04-27 08:00:00,7,33,109.420313,4.47,0.55,4,8.178140
603,608,654,-1,2014-04-26 08:00:00,6,33,117.386977,4.54,1.12,4,8.178140
603,608,654,-1,2014-04-25 08:00:00,5,33,312.542231,1.64,0.11,2,4.089070
603,608,654,-1,2014-04-24 08:00:00,4,33,301.919012,1.62,0.0,1,2.044535
603,608,654,-1,2014-04-23 08:00:00,3,33,224.361835,2.18,0.0,1,2.044535
603,608,654,-1,2014-04-22 08:00:00,2,33,183.186816,2.67,0.98,3,6.133605
603,608,654,-1,2014-04-21 08:00:00,1,33,282.721850,1.73,0.0,1,2.044535
